timestamp,flow_id,ip_src,tp_src,ip_dst,tp_dst,ip_proto,flow_duration_sec,flow_duration_nsec,idle_timeout,hard_timeout,packet_count,byte_count,packet_count_per_second,packet_count_per_nsecond,Label
1715845591.871385,87.210.122.2163168810.0.0.78017,87.210.122.216,31688,10.0.0.7,80,17,14,934000000,20,100,0,0,0.0,0.0,1
1715845591.871385,87.210.122.2162261610.0.0.72261617,87.210.122.216,22616,10.0.0.7,22616,17,14,904000000,20,100,0,0,0.0,0.0,1
1715845591.871385,94.176.249.283167710.0.0.78017,94.176.249.28,31677,10.0.0.7,80,17,15,337000000,20,100,0,0,0.0,0.0,1
1715845591.871385,94.176.249.282261610.0.0.72261617,94.176.249.28,22616,10.0.0.7,22616,17,15,306000000,20,100,0,0,0.0,0.0,1
1715845591.871385,97.200.23.1573163610.0.0.78017,97.200.23.157,31636,10.0.0.7,80,17,16,355000000,20,100,0,0,0.0,0.0,1
1715845591.871385,97.200.23.1572261610.0.0.72261617,97.200.23.157,22616,10.0.0.7,22616,17,16,328000000,20,100,0,0,0.0,0.0,1
1715845591.871385,97.205.86.403163210.0.0.78017,97.205.86.40,31632,10.0.0.7,80,17,16,499000000,20,100,0,0,0.0,0.0,0
1715845591.871385,97.205.86.402261610.0.0.72261617,97.205.86.40,22616,10.0.0.7,22616,17,16,461000000,20,100,0,0,0.0,0.0,1
1715845591.871385,97.53.195.2083165710.0.0.78017,97.53.195.208,31657,10.0.0.7,80,17,15,649000000,20,100,0,0,0.0,0.0,1
1715845591.871385,97.53.195.2082261610.0.0.72261617,97.53.195.208,22616,10.0.0.7,22616,17,15,626000000,20,100,0,0,0.0,0.0,1
